model,train_acc,test_acc,train_auc,test_auc
LogisticRegression,0.6965976850227991,0.7179067865903516,0.69660441426146,0.7178845351561247
RandomForest,1.0,0.7890433360588717,1.0,0.7890218007552176
XGBoost,0.9898281304805332,0.7686017988552739,0.9898294825422602,0.7685916155878608
